state,sat_compulsory,act_compulsory,Remarks
Alabama,,1,
Alaska,,,
Arizona,,,
Arkansas,,,* Offer ACT  but not required
California,,,
Colorado,1,,
Connecticut,1,,
Delaware,1,,
District of Columbia,,,* Not required SAT but offer free SAT
Florida,,,
Georgia,,,
Hawaii,,1,
Idaho,,,*Offer free SAT 
Illinois,1,,
Indiana,,,
Iowa,,,
Kansas,,,* Offer ACT  but not required
Kentucky,,1,
Louisiana,,1,
Maine,,,"* SAT optional, offer free"
Maryland,,,
Massachusetts,,,
Michigan,1,,
Minnesota,,,*To take either SAT or ACT
Mississippi,,1,
Missouri,,,*determined by district; not funded
Montana,,1,
Nebraska,,1,
Nevada,,1,
New Hampshire,1,,
New Jersey,,,
New Mexico,,,
New York,,,
North Carolina,,1,
North Dakota,,1,
Ohio,,,*To take either SAT or ACT
Oklahoma,,,*To take either SAT or ACT
Oregon,,,
Pennsylvania,,,
Rhode Island,1,,
South Carolina,,,*To take either SAT or ACT
South Dakota,,,
Tennessee,,,*To take either SAT or ACT
Texas,,,
Utah,,1,
Vermont,,,
Virginia,,,
Washington,,,
West Virginia,1,,
Wisconsin,,1,
Wyoming,,1,
